Date,Open,High,Low,Close,Adj Close,Volume
2000-11-22,6.962310,7.481880,6.927670,7.308690,5.126002,9544409
2000-11-23,7.204780,7.551160,7.066220,7.551160,5.296060,9921921
2000-11-24,7.551160,8.036100,7.551160,8.036100,5.636176,10309887
2000-11-27,8.036100,8.313200,7.758990,8.313200,5.830522,15297800
2000-11-28,8.174650,8.451760,8.105370,8.243930,5.781939,8138649
2000-11-29,8.036100,8.659590,8.036100,8.590310,6.024875,16260937
2000-11-30,8.451760,8.590310,8.313200,8.486400,5.951997,11978712
2000-12-01,8.243930,8.451760,8.209290,8.382480,5.879112,3670931
2000-12-04,8.313200,8.382480,8.105370,8.105370,5.684759,3732857
2000-12-05,8.105370,8.417120,7.828270,8.417120,5.903408,11337231
2000-12-06,8.382480,8.486400,8.209290,8.347840,5.854818,6650190
2000-12-07,8.313200,8.347840,8.174650,8.278560,5.806226,4144043
2000-12-08,8.278560,8.624950,8.174650,8.417120,5.903408,9523145
2000-12-11,8.521030,8.590310,8.417120,8.521030,5.976285,5412516
2000-12-12,8.521030,8.728860,8.451760,8.555670,6.000580,7069699
2000-12-13,8.624950,9.109890,8.590310,8.728860,6.122048,18465878
2000-12-14,8.659590,8.798140,8.590310,8.728860,6.122048,8383121
2000-12-15,8.590310,8.694230,8.451760,8.451760,5.927702,2616883
2000-12-18,7.966820,8.140010,7.897540,7.932180,5.563292,3447047
2000-12-19,7.932180,8.140010,7.932180,8.105370,5.684759,4150837
2000-12-20,8.105370,8.243930,7.828270,7.828270,5.490413,3673889
2000-12-21,7.585800,7.585800,7.585800,7.585800,5.320354,989171
2000-12-22,7.343330,7.620440,7.343330,7.481880,5.247470,4180687
2000-12-25,null,null,null,null,null,null
2000-12-26,7.620440,7.620440,7.239410,7.412610,5.198886,2647652
2000-12-27,7.274050,7.343330,7.170140,7.204780,5.053124,1407304
2000-12-28,7.274050,7.689710,7.274050,7.620440,5.344649,4985482
2000-12-29,7.793630,7.966820,7.551160,7.585800,5.320354,6729622
2001-01-01,null,null,null,null,null,null
2001-01-02,7.966820,8.140010,7.793630,8.105370,5.684759,7051433
2001-01-03,8.036100,8.313200,7.932180,8.243930,5.781939,7264971
2001-01-04,8.659590,8.728860,8.451760,8.624950,6.049170,13401821
2001-01-05,8.590310,8.936690,8.313200,8.902060,6.243524,16150958
2001-01-08,8.798140,8.902060,8.590310,8.798140,6.170638,9836172
2001-01-09,8.798140,8.902060,8.728860,8.798140,6.170638,10582641
2001-01-10,8.867420,9.248440,8.867420,9.109890,6.389286,25445411
2001-01-11,9.109890,9.144520,8.694230,8.971330,6.292107,14209488
2001-01-12,9.040610,9.040610,8.521030,8.694230,6.097761,7088785
2001-01-15,8.728860,8.867420,8.555670,8.798140,6.170638,5248046
2001-01-16,8.936690,9.283080,8.798140,9.213800,6.462164,20127981
2001-01-17,9.213800,9.837290,9.213800,9.837290,6.899453,58307357
2001-01-18,9.837290,10.460800,9.629460,10.460800,7.336757,45711707
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,10.460800,11.084300,10.149000,10.149000,7.118074,34034533
2001-01-30,10.114400,10.391500,9.560180,10.045100,7.045202,17430710
2001-01-31,10.252900,10.322200,9.906570,10.252900,7.190944,19461249
2001-02-01,10.183700,10.391500,9.906570,9.906570,6.948043,11165771
2001-02-02,10.183700,10.252900,9.906570,9.941210,6.972339,13800632
2001-02-05,9.975840,9.975840,9.317720,9.560180,6.705100,8344738
2001-02-06,9.525550,9.871930,9.456270,9.560180,6.705100,8876012
2001-02-07,9.629460,9.768010,9.490910,9.525550,6.680812,7936380
2001-02-08,9.664100,9.698740,9.490910,9.629460,6.753691,4203548
2001-02-09,9.629460,9.975840,9.629460,9.629460,6.753691,10317799
2001-02-12,9.352350,9.629460,9.352350,9.421630,6.607927,6897487
2001-02-13,9.490910,9.629460,9.421630,9.525550,6.680812,6791707
2001-02-14,9.837290,9.941210,9.525550,9.560180,6.705100,12773896
2001-02-15,9.594820,9.768010,9.525550,9.664100,6.777985,6668600
2001-02-16,9.768010,9.768010,9.352350,9.352350,6.559336,6886054
2001-02-19,8.798140,9.317720,8.798140,9.005970,6.316402,4884705
2001-02-20,9.005970,9.352350,9.005970,9.144520,6.413574,6028772
2001-02-21,9.075250,9.213800,8.902060,9.005970,6.316402,2933324
2001-02-22,8.867420,9.075250,8.798140,8.936690,6.267811,5128257
2001-02-23,9.144520,9.213800,8.936690,8.971330,6.292107,5322783
2001-02-26,8.971330,9.144520,8.936690,8.971330,6.292107,3727828
2001-02-27,9.075250,9.179160,8.902060,8.936690,6.267811,4833200
2001-02-28,null,null,null,null,null,null
2001-03-01,8.867420,9.005970,8.728860,8.728860,6.122048,3809418
2001-03-02,8.728860,8.936690,8.694230,8.728860,6.122048,3832856
2001-03-05,8.728860,8.936690,8.728860,8.867420,6.219228,4086165
2001-03-06,9.179160,9.179160,8.798140,8.867420,6.219228,6447018
2001-03-07,9.005970,9.075250,8.902060,8.936690,6.267811,5472348
2001-03-08,9.005970,9.040610,8.798140,8.798140,6.170638,2757552
2001-03-09,8.798140,8.902060,8.694230,8.798140,6.170638,2698773
2001-03-12,8.728860,8.728860,8.486400,8.521030,5.976285,3079020
2001-03-13,8.382480,8.659590,8.382480,8.486400,5.951997,3797987
2001-03-14,null,null,null,null,null,null
2001-03-15,8.451760,8.555670,8.382480,8.486400,5.951997,3969730
2001-03-16,8.521030,9.005970,8.521030,8.936690,6.267811,14198053
2001-03-19,9.005970,9.005970,8.555670,8.590310,6.024875,5479649
2001-03-20,8.694230,8.728860,8.521030,8.555670,6.000580,2914423
2001-03-21,8.451760,8.902060,8.451760,8.659590,6.073465,4865516
2001-03-22,8.521030,8.728860,8.521030,8.555670,6.000580,2920080
2001-03-23,8.659590,8.763500,8.555670,8.590310,6.024875,5021694
2001-03-26,8.624950,8.728860,8.590310,8.659590,6.073465,4259606
2001-03-27,8.659590,8.936690,8.659590,8.728860,6.122048,11169662
2001-03-28,8.867420,9.213800,8.763500,9.075250,6.364991,15954355
2001-03-29,9.144520,9.352350,9.005970,9.005970,6.316402,18242599
2001-03-30,9.005970,9.040610,8.659590,8.659590,6.073465,8590237
2001-04-02,8.659590,8.798140,8.451760,8.486400,5.951997,3799439
2001-04-03,8.382480,8.590310,8.313200,8.313200,5.830522,3800367
2001-04-04,8.243930,8.486400,8.243930,8.313200,5.830522,3764915
2001-04-05,null,null,null,null,null,null
2001-04-06,8.451760,8.521030,8.313200,8.313200,5.830522,4630758
2001-04-09,8.313200,8.313200,8.105370,8.105370,5.684759,3691885
2001-04-10,8.105370,8.243930,7.966820,7.966820,5.587586,3285718
2001-04-11,8.070740,8.105370,7.897540,7.966820,5.587586,3169461
2001-04-12,7.966820,8.036100,7.862910,7.932180,5.563292,3048448
2001-04-13,7.966820,8.209290,7.966820,8.001460,5.611882,4751669
2001-04-16,8.001460,8.001460,7.793630,7.828270,5.490413,1566658
2001-04-17,7.793630,7.862910,7.655070,7.724350,5.417528,1564753
2001-04-18,7.689710,7.758990,7.689710,7.724350,5.417528,1720045
2001-04-19,7.897540,8.001460,7.828270,7.862910,5.514708,3578677
2001-04-20,7.897540,7.966820,7.758990,7.828270,5.490413,1914126
2001-04-23,7.897540,7.966820,7.828270,7.862910,5.514708,2270217
2001-04-24,7.828270,7.932180,7.689710,7.758990,5.441823,1721756
2001-04-25,7.758990,7.932180,7.758990,7.793630,5.466118,2821852
2001-04-26,7.758990,7.932180,7.758990,7.793630,5.466118,2821852
2001-04-27,7.932180,7.932180,7.758990,7.758990,5.441823,2209280
2001-04-30,7.828270,7.828270,7.655070,7.655070,5.368937,1552857
2001-05-01,null,null,null,null,null,null
2001-05-02,7.689710,7.828270,7.377970,7.828270,5.490413,7791368
2001-05-03,7.758990,7.897540,7.689710,7.897540,5.538996,3466882
2001-05-04,7.897540,8.278560,7.793630,8.001460,5.611882,10222718
2001-05-07,8.174650,8.174650,8.001460,8.001460,5.611882,3695780
2001-05-08,8.036100,8.140010,7.828270,7.966820,5.587586,3449050
2001-05-09,8.036100,8.070740,7.897540,7.966820,5.587586,3560614
2001-05-10,7.966820,8.070740,7.793630,7.828270,5.490413,2386729
2001-05-11,7.897540,8.174650,7.689710,8.105370,5.684759,6092109
2001-05-14,7.966820,8.140010,7.932180,7.932180,5.563292,2264701
2001-05-15,7.828270,8.036100,7.828270,7.862910,5.514708,2209733
2001-05-16,7.793630,7.966820,7.793630,7.828270,5.490413,2589864
2001-05-17,7.828270,7.966820,7.828270,7.862910,5.514708,2230831
2001-05-18,7.966820,7.966820,7.620440,7.655070,5.368937,2351612
2001-05-21,7.516520,7.620440,7.204780,7.377970,5.174591,3463155
2001-05-22,7.377970,7.412610,7.239410,7.274050,5.101707,1379308
2001-05-23,7.274050,7.516520,7.204780,7.516520,5.271765,2336340
2001-05-24,7.481880,7.551160,7.377970,7.377970,5.174591,2773049
2001-05-25,7.377970,7.447240,7.274050,7.274050,5.101707,1578897
2001-05-28,6.823750,7.135500,6.823750,7.066220,4.955943,1741538
2001-05-29,7.066220,7.170140,7.066220,7.066220,4.955943,1437551
2001-05-30,7.135500,7.135500,6.927670,6.996950,4.907361,1465006
2001-05-31,6.996950,7.239410,6.996950,7.066220,4.955943,2042818
2001-06-01,7.135500,7.135500,6.927670,6.927670,4.858770,1003363
2001-06-04,6.962310,7.100860,6.927670,6.996950,4.907361,1370986
2001-06-05,7.031590,7.274050,6.996950,7.135500,5.004533,5406553
2001-06-06,7.239410,7.343330,7.135500,7.239410,5.077412,4279647
2001-06-07,7.204780,7.204780,7.066220,7.204780,5.053124,3477721
2001-06-08,7.066220,7.308690,7.066220,7.308690,5.126002,4342893
2001-06-11,7.308690,7.343330,7.204780,7.343330,5.150297,1480797
2001-06-12,7.343330,7.481880,7.343330,7.412610,5.198886,2847289
2001-06-13,7.412610,7.620440,7.412610,7.481880,5.247470,3718721
2001-06-14,7.516520,7.516520,7.343330,7.412610,5.198886,2069874
2001-06-15,7.343330,7.481880,7.343330,7.447240,5.223175,1680034
2001-06-18,7.447240,7.516520,7.377970,7.447240,5.223175,1218397
2001-06-19,7.447240,7.551160,7.447240,7.516520,5.271765,2307355
2001-06-20,7.551160,7.551160,7.447240,7.551160,5.296060,1998484
2001-06-21,7.585800,7.620440,7.481880,7.585800,5.320354,2737667
2001-06-22,7.551160,7.585800,7.481880,7.585800,5.320354,2896209
2001-06-25,null,null,null,null,null,null
2001-06-26,7.585800,7.620440,7.481880,7.620440,5.344649,4023946
2001-06-27,7.620440,7.620440,7.481880,7.585800,5.320354,3158468
2001-06-28,7.585800,7.620440,7.343330,7.412610,5.198886,2524931
2001-06-29,7.412610,7.481880,7.343330,7.377970,5.174591,2272740
2001-07-02,7.377970,7.447240,7.204780,7.204780,5.053124,1073533
2001-07-03,7.204780,7.204780,7.066220,7.066220,4.955943,935274
2001-07-04,6.996950,7.066220,6.789120,6.789120,4.761598,1731350
2001-07-05,6.512010,6.685200,6.477370,6.477370,4.542950,2786241
2001-07-06,6.442730,6.650560,6.373460,6.581290,4.615835,1766684
2001-07-09,6.581290,6.650560,6.442730,6.546650,4.591539,721133
2001-07-10,6.650560,6.650560,6.477370,6.615920,4.640122,934422
2001-07-11,6.546650,6.615920,6.234900,6.269540,4.397187,2019109
2001-07-12,6.234900,6.408090,6.234900,6.338820,4.445776,2447445
2001-07-13,6.442730,6.442730,5.923160,5.957800,4.178546,3661640
2001-07-16,5.957800,6.096350,5.542140,5.542140,3.887020,4305501
2001-07-17,5.472860,5.680690,5.403580,5.680690,3.984193,3546061
2001-07-18,5.680690,5.819240,5.299670,5.299670,3.716961,3549918
2001-07-19,4.987920,5.265030,4.987920,5.161110,3.619781,4974318
2001-07-20,5.161110,5.368940,5.022560,5.230390,3.668371,3785592
2001-07-23,5.126480,5.195750,4.918640,4.953280,3.474018,3383717
2001-07-24,4.953280,4.953280,4.606900,4.641540,3.255378,6292576
2001-07-25,4.606900,4.780090,4.606900,4.710820,3.303967,4390954
2001-07-26,4.745450,4.987920,4.606900,4.953280,3.474018,5645575
2001-07-27,4.987920,5.057200,4.849370,4.884010,3.425435,3512180
2001-07-30,null,null,null,null,null,null
2001-07-31,4.849370,4.849370,4.641540,4.710820,3.303967,2463462
2001-08-01,4.710820,4.814730,4.606900,4.641540,3.255378,2252789
2001-08-02,4.641540,4.780090,4.606900,4.780090,3.352550,3213964
2001-08-03,4.849370,5.022560,4.814730,5.022560,3.522609,7229985
2001-08-06,5.057200,5.091840,4.953280,5.022560,3.522609,2968893
2001-08-07,5.022560,5.022560,4.884010,4.987920,3.498313,1515237
2001-08-08,4.987920,5.334310,4.987920,5.334310,3.741256,6861834
2001-08-09,5.334310,5.472860,5.265030,5.334310,3.741256,7117435
2001-08-10,5.368940,5.438220,5.161110,5.299670,3.716961,3806567
2001-08-13,5.368940,5.646050,5.368940,5.646050,3.959898,6065750
2001-08-14,5.784600,5.888520,5.576770,5.784600,4.057070,8514126
2001-08-15,5.784600,5.957800,5.715330,5.853880,4.105660,7213205
2001-08-16,5.957800,6.234900,5.957800,6.234900,4.372892,6529151
2001-08-17,6.373460,6.408090,6.096350,6.269540,4.397187,10486349
2001-08-20,6.096350,6.373460,6.061710,6.096350,4.275718,6181162
2001-08-21,6.096350,6.200260,6.027070,6.165630,4.324309,5788382
2001-08-22,6.165630,6.373460,6.130990,6.234900,4.372892,10279070
2001-08-23,5.923160,5.923160,5.611410,5.611410,3.935602,5333684
2001-08-24,5.611410,5.749970,5.472860,5.472860,3.838429,6186344
2001-08-27,5.680690,5.784600,5.542140,5.680690,3.984193,6078272
2001-08-28,5.749970,5.749970,5.611410,5.680690,3.984193,3092443
2001-08-29,5.680690,6.061710,5.611410,6.061710,4.251423,15834170
2001-08-30,6.165630,6.477370,6.165630,6.477370,4.542950,25787416
2001-08-31,6.477370,6.789120,6.373460,6.512010,4.567245,30536474
2001-09-03,6.512010,6.581290,6.338820,6.373460,4.470072,9315050
2001-09-04,6.304180,6.373460,5.957800,5.957800,4.178546,6948416
2001-09-05,5.957800,6.165630,5.957800,6.027070,4.227129,6948399
2001-09-06,5.888520,6.096350,5.888520,5.923160,4.154251,4726167
2001-09-07,5.888520,5.923160,5.611410,5.749970,4.032783,4856752
2001-09-10,5.611410,5.680690,5.472860,5.646050,3.959898,3072530
2001-09-11,5.646050,5.680690,5.438220,5.472860,3.838429,2850667
2001-09-12,null,null,null,null,null,null
2001-09-13,5.091840,5.195750,5.091840,5.091840,3.571198,10538352
2001-09-14,5.195750,5.334310,4.780090,4.849370,3.401140,10098966
2001-09-17,null,null,null,null,null,null
2001-09-18,null,null,null,null,null,null
2001-09-19,null,null,null,null,null,null
2001-09-20,4.849370,4.987920,4.814730,4.849370,3.401140,2746342
2001-09-21,4.710820,4.780090,4.710820,4.710820,3.303967,2631628
2001-09-24,null,null,null,null,null,null
2001-09-25,4.780090,4.849370,4.572260,4.606900,3.231082,3864545
2001-09-26,4.606900,4.849370,4.572260,4.849370,3.401140,2704734
2001-09-27,4.780090,4.849370,4.710820,4.710820,3.303967,1717546
2001-09-28,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-02,4.918640,4.987920,4.745450,4.745450,3.328255,2476227
2001-10-03,4.780090,4.987920,4.780090,4.814730,3.376845,2434952
2001-10-04,5.126480,5.126480,5.126480,5.126480,3.595493,5483489
2001-10-05,5.126480,5.334310,4.987920,5.299670,3.716961,9643773
2001-10-08,5.265030,5.299670,5.057200,5.091840,3.571198,3438008
2001-10-09,5.091840,5.195750,5.057200,5.195750,3.644076,2212223
2001-10-10,null,null,null,null,null,null
2001-10-11,5.334310,5.403580,5.265030,5.334310,3.741256,6514619
2001-10-12,5.403580,5.403580,4.987920,4.987920,3.498313,5335332
2001-10-15,4.987920,4.987920,4.849370,4.884010,3.425435,2067622
2001-10-16,4.918640,5.022560,4.884010,4.987920,3.498313,1960944
2001-10-17,5.022560,5.126480,4.987920,5.022560,3.522609,2695354
2001-10-18,5.057200,5.126480,4.953280,4.953280,3.474018,2199259
2001-10-19,4.918640,4.987920,4.849370,4.953280,3.474018,2466125
2001-10-22,5.126480,5.161110,4.987920,5.091840,3.571198,4089872
2001-10-23,5.195750,5.195750,4.987920,4.987920,3.498313,3031331
2001-10-24,4.987920,5.091840,4.987920,5.057200,3.546903,2495578
2001-10-25,5.126480,5.195750,5.022560,5.022560,3.522609,3236111
2001-10-26,5.057200,5.195750,5.022560,5.057200,3.546903,4935334
2001-10-29,5.126480,5.195750,5.091840,5.091840,3.571198,2379553
2001-10-30,5.022560,5.091840,4.918640,4.918640,3.449723,1828999
2001-10-31,4.918640,4.987920,4.884010,4.953280,3.474018,1923107
2001-11-01,4.987920,4.987920,4.918640,4.918640,3.449723,1205681
2001-11-02,4.987920,5.022560,4.918640,4.918640,3.449723,2525295
2001-11-05,4.918640,4.953280,4.849370,4.953280,3.474018,1767464
2001-11-06,4.987920,5.057200,4.953280,4.953280,3.474018,2379806
2001-11-07,4.987920,5.057200,4.953280,4.987920,3.498313,3620434
2001-11-08,5.022560,5.022560,4.849370,4.884010,3.425435,2943271
2001-11-09,null,null,null,null,null,null
2001-11-12,4.849370,4.918640,4.780090,4.849370,3.401140,3248563
2001-11-13,4.780090,4.918640,4.780090,4.849370,3.401140,1687199
2001-11-14,4.884010,4.953280,4.849370,4.953280,3.474018,2049451
2001-11-15,4.918640,5.022560,4.884010,4.953280,3.474018,3902198
2001-11-16,4.987920,5.091840,4.953280,4.987920,3.498313,4695788
