,Date,B1,Sell,B2,Adj Close
,2020/09/04,29.095,29.765,29.445,29.545
,2020/09/03,29.09,29.76,29.44,29.54
,2020/09/02,29.09,29.76,29.44,29.54
,2020/09/01,29.085,29.755,29.435,29.535
,2020/08/31,29.09,29.76,29.44,29.54
,2020/08/28,29.085,29.755,29.435,29.535
,2020/08/27,29.075,29.745,29.425,29.525
,2020/08/26,29.08,29.75,29.43,29.53
,2020/08/25,29.08,29.75,29.43,29.53
,2020/08/24,29.08,29.75,29.43,29.53
,2020/08/21,29.08,29.75,29.43,29.53
,2020/08/20,29.09,29.76,29.44,29.54
,2020/08/19,29.08,29.75,29.43,29.53
,2020/08/18,29.08,29.75,29.43,29.53
,2020/08/17,29.1,29.77,29.45,29.55
,2020/08/14,29.12,29.79,29.47,29.57
,2020/08/13,29.11,29.78,29.46,29.56
,2020/08/12,29.12,29.79,29.47,29.57
,2020/08/11,29.1,29.77,29.45,29.55
,2020/08/10,29.09,29.76,29.44,29.54
,2020/08/07,29.09,29.76,29.44,29.54
,2020/08/06,29.08,29.75,29.43,29.53
,2020/08/05,29.09,29.76,29.44,29.54
,2020/08/04,29.11,29.78,29.46,29.56
,2020/08/03,29.1,29.77,29.45,29.55
,2020/07/31,29.08,29.75,29.43,29.53
,2020/07/30,29.095,29.765,29.445,29.545
,2020/07/29,29.07,29.74,29.42,29.52
,2020/07/28,29.08,29.75,29.43,29.53
,2020/07/27,29.08,29.75,29.43,29.53
,2020/07/24,29.12,29.79,29.47,29.57
,2020/07/23,29.105,29.775,29.455,29.555
,2020/07/22,29.1,29.77,29.45,29.55
,2020/07/21,29.13,29.8,29.48,29.58
,2020/07/20,29.135,29.805,29.485,29.585
,2020/07/17,29.16,29.83,29.51,29.61
,2020/07/16,29.16,29.83,29.51,29.61
,2020/07/15,29.15,29.82,29.5,29.6
,2020/07/14,29.16,29.83,29.51,29.61
,2020/07/13,29.15,29.82,29.5,29.6
,2020/07/10,29.18,29.85,29.53,29.63
,2020/07/09,29.15,29.82,29.5,29.6
,2020/07/08,29.17,29.84,29.52,29.62
,2020/07/07,29.15,29.82,29.5,29.6
,2020/07/06,29.13,29.8,29.48,29.58
,2020/07/03,29.17,29.84,29.52,29.62
,2020/07/02,29.16,29.83,29.51,29.61
,2020/07/01,29.19,29.86,29.54,29.64
,2020/06/30,29.23,29.9,29.58,29.68
,2020/06/29,29.18,29.85,29.53,29.63
,2020/06/24,29.22,29.89,29.57,29.67
,2020/06/23,29.21,29.88,29.56,29.66
,2020/06/22,29.23,29.9,29.58,29.68
,2020/06/20,29.235,29.905,29.585,29.685
,2020/06/19,29.23,29.9,29.58,29.68
,2020/06/18,29.23,29.9,29.58,29.68
,2020/06/17,29.26,29.93,29.61,29.71
,2020/06/16,29.24,29.91,29.59,29.69
,2020/06/15,29.275,29.945,29.625,29.725
,2020/06/12,29.26,29.93,29.61,29.71
,2020/06/11,29.27,29.94,29.62,29.72
,2020/06/10,29.24,29.91,29.59,29.69
,2020/06/09,29.355,30.025,29.705,29.805
,2020/06/08,29.38,30.05,29.73,29.83
,2020/06/05,29.4,30.07,29.75,29.85
,2020/06/04,29.48,30.15,29.83,29.93
,2020/06/03,29.48,30.15,29.83,29.93
