Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,19.772600,20.036200,19.772600,20.036200,12.442697,182829
2008-01-02,19.772600,20.299900,19.377100,20.036200,12.442697,189657
2008-01-03,19.772600,20.167999,19.574900,19.772600,12.278997,147174
2008-01-04,19.508900,20.761200,19.508900,20.761200,12.892929,299657
2008-01-07,20.431700,20.497601,19.772600,19.904400,12.360849,354279
2008-01-08,20.167999,20.431700,19.904400,20.365801,12.647383,490073
2008-01-09,19.970301,20.827101,19.904400,20.629400,12.811079,550763
2008-01-10,20.629400,20.761200,20.431700,20.695299,12.852004,217726
2008-01-11,20.695299,20.761200,20.102100,20.695299,12.852004,1498287
2008-01-14,20.761200,20.827101,20.431700,20.431700,12.688306,318623
2008-01-15,20.629400,21.090700,20.629400,20.761200,12.892929,323175
2008-01-16,20.563499,21.288500,20.497601,21.090700,13.097552,432417
2008-01-17,21.090700,21.420300,20.827101,21.288500,13.220387,873179
2008-01-18,21.222601,22.408899,21.156700,22.408899,13.916170,1537736
2008-01-21,22.540701,22.870300,21.881701,22.606600,14.038943,1431528
2008-01-22,22.408899,22.408899,21.024799,21.024799,13.056627,367934
2008-01-23,21.090700,21.552099,20.102100,21.420300,13.302239,1333665
2008-01-24,21.618000,21.683901,20.695299,21.354401,13.261313,537107
2008-01-25,21.486200,21.552099,21.090700,21.420300,13.302239,347451
2008-01-28,20.958900,21.090700,20.563499,20.563499,12.770157,241243
2008-01-29,20.958900,21.024799,20.563499,20.695299,12.852004,240485
2008-01-30,20.563499,20.629400,19.508900,19.508900,12.115235,177519
2008-01-31,19.508900,20.299900,19.508900,19.838499,12.319923,113794
2008-02-01,20.431700,20.563499,19.508900,20.233900,12.565473,275381
2008-02-12,19.508900,20.431700,19.508900,19.772600,12.278997,75104
2008-02-13,19.508900,21.024799,19.508900,19.508900,12.115235,219243
2008-02-14,19.772600,20.431700,19.179399,20.431700,12.688306,1670495
2008-02-15,20.299900,21.090700,19.904400,20.036200,12.442697,1103043
2008-02-18,20.036200,20.695299,19.772600,19.772600,12.278997,173725
2008-02-19,20.563499,20.563499,19.838499,20.167999,12.524546,157036
2008-02-20,19.904400,20.233900,19.904400,20.233900,12.565473,39449
2008-02-21,20.233900,20.497601,20.036200,20.431700,12.688306,323175
2008-02-22,20.431700,20.761200,20.233900,20.431700,12.688306,116070
2008-02-25,20.431700,20.761200,20.365801,20.497601,12.729231,333037
2008-02-26,20.629400,20.629400,19.772600,20.036200,12.442697,929317
2008-02-27,20.102100,20.365801,20.036200,20.102100,12.483623,188139
2008-02-29,20.299900,20.431700,20.102100,20.233900,12.565473,1043870
2008-03-03,19.838499,20.167999,19.838499,19.970301,12.401773,149449
2008-03-04,20.167999,20.431700,20.102100,20.431700,12.688306,258692
2008-03-05,20.563499,21.420300,20.431700,20.958900,13.015705,1973946
2008-03-06,21.156700,21.222601,20.827101,20.958900,13.015705,677453
2008-03-07,20.761200,20.893000,20.299900,20.365801,12.647383,506762
2008-03-10,20.167999,20.431700,20.167999,20.233900,12.565473,226071
2008-03-11,20.167999,20.563499,20.102100,20.233900,12.565473,128966
2008-03-12,20.431700,20.761200,20.036200,20.102100,12.483623,336071
2008-03-13,20.167999,20.299900,19.640800,19.772600,12.278997,242002
2008-03-14,19.772600,19.904400,19.706699,19.706699,12.238075,211657
2008-03-17,20.958900,20.958900,20.233900,20.233900,12.565473,639522
2008-03-18,19.904400,20.431700,19.838499,20.167999,12.524546,481728
2008-03-19,20.431700,20.431700,20.102100,20.102100,12.483623,304209
2008-03-20,20.102100,20.233900,19.970301,20.233900,12.565473,209381
2008-03-21,20.233900,20.497601,20.036200,20.167999,12.524546,826903
2008-03-24,21.090700,21.354401,20.497601,20.761200,12.892929,936904
2008-03-25,20.893000,20.893000,20.431700,20.563499,12.770157,515866
2008-03-26,20.431700,21.288500,20.365801,21.090700,13.097552,1202423
2008-03-27,21.090700,22.540701,20.827101,22.540701,13.998019,3475268
2008-03-28,22.408899,22.870300,21.947599,22.145300,13.752472,3995685
2008-03-31,22.145300,22.145300,21.420300,21.486200,13.343163,1854083
2008-04-01,21.749800,22.013500,21.420300,21.486200,13.343163,1024904
2008-04-02,21.749800,22.343000,21.618000,21.815701,13.547787,1875324
2008-04-03,21.749800,22.672600,21.683901,22.408899,13.916170,2138568
2008-04-07,22.672600,23.265699,22.277100,22.936199,14.243630,2614985
2008-04-08,23.068001,23.331600,22.936199,23.199800,14.407330,1727392
2008-04-09,23.199800,24.386200,23.199800,23.595301,14.652939,2803125
2008-04-10,23.595301,24.056601,23.199800,23.331600,14.489178,1337458
2008-04-11,23.463499,24.254400,23.068001,23.924801,14.857561,2187879
2008-04-14,24.254400,24.254400,23.595301,23.661200,14.693864,1274492
2008-04-15,23.858900,23.924801,23.199800,23.199800,14.407330,843593
2008-04-16,23.595301,24.781601,23.199800,24.781601,15.389642,3975202
2008-04-17,25.308901,25.440701,24.254400,24.386200,15.144095,2873677
2008-04-18,24.649799,25.177099,23.990700,25.177099,15.635253,1262354
2008-04-21,25.704300,26.165701,25.440701,25.440701,15.798949,2660503
2008-04-22,25.704300,26.099800,25.374800,26.099800,16.208261,2489812
2008-04-23,25.704300,26.099800,25.308901,25.836201,16.044561,1838152
